year,name,age,sex,genotype,value
2019,cancers_with_hiv,0,female,total,0
2019,cancers_with_hiv,15,female,total,0
2019,cancers_with_hiv,20,female,total,2
2019,cancers_with_hiv,25,female,total,10
2019,cancers_with_hiv,30,female,total,27
2019,cancers_with_hiv,35,female,total,69
2019,cancers_with_hiv,40,female,total,78
2019,cancers_with_hiv,45,female,total,94
2019,cancers_with_hiv,50,female,total,74
2019,cancers_with_hiv,55,female,total,48
2019,cancers_with_hiv,60,female,total,26
2019,cancers_with_hiv,65,female,total,16
2019,cancers_with_hiv,70,female,total,3
2019,cancers_with_hiv,75,female,total,1
2019,cancers_with_hiv,80,female,total,0
2019,cancers_with_hiv,85,female,total,0
