age,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,8.00E-06,1.40E-05,2.40E-05,4.10E-05,6.80E-05,1.09E-04,1.65E-04,2.39E-04,3.28E-04,4.20E-04,5.08E-04,5.90E-04,6.52E-04,6.95E-04,7.27E-04,7.42E-04,7.72E-04,7.91E-04,7.67E-04,7.27E-04,6.54E-04,6.28E-04,5.62E-04,5.17E-04,4.77E-04,4.14E-04,3.44E-04,3.16E-04,2.77E-04,2.48E-04,1.89E-04,1.92E-04,1.78E-04,1.55E-04,1.31E-04,1.14E-04,1.20E-04,1.11E-04,1.01E-04,1.01E-04,7.60E-05,6.30E-05
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,7.00E-06,1.40E-05,2.40E-05,4.00E-05,6.70E-05,1.07E-04,1.63E-04,2.36E-04,3.24E-04,4.15E-04,5.02E-04,5.83E-04,6.44E-04,6.87E-04,7.18E-04,7.69E-04,7.85E-04,7.68E-04,7.37E-04,6.65E-04,6.38E-04,5.78E-04,5.41E-04,5.06E-04,4.67E-04,3.96E-04,3.41E-04,3.00E-04,2.89E-04,2.28E-04,1.95E-04,1.95E-04,1.75E-04,1.55E-04,1.31E-04,1.15E-04,1.22E-04,1.13E-04,1.01E-04,1.00E-04,7.50E-05
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,7.00E-06,1.30E-05,2.30E-05,4.00E-05,6.60E-05,1.06E-04,1.60E-04,2.32E-04,3.19E-04,4.08E-04,4.94E-04,5.74E-04,6.34E-04,6.77E-04,7.47E-04,7.74E-04,7.58E-04,7.32E-04,6.67E-04,6.45E-04,5.87E-04,5.54E-04,5.26E-04,4.94E-04,4.48E-04,3.88E-04,3.22E-04,3.11E-04,2.65E-04,2.36E-04,1.99E-04,1.93E-04,1.74E-04,1.54E-04,1.32E-04,1.18E-04,1.25E-04,1.15E-04,1.01E-04,1.01E-04
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,7.00E-06,1.30E-05,2.30E-05,3.90E-05,6.50E-05,1.04E-04,1.57E-04,2.28E-04,3.13E-04,4.00E-04,4.85E-04,5.63E-04,6.22E-04,6.99E-04,7.52E-04,7.46E-04,7.24E-04,6.57E-04,6.45E-04,5.87E-04,5.59E-04,5.37E-04,5.11E-04,4.67E-04,4.31E-04,3.62E-04,3.33E-04,2.83E-04,2.73E-04,2.37E-04,1.97E-04,1.92E-04,1.70E-04,1.54E-04,1.34E-04,1.21E-04,1.28E-04,1.17E-04,1.00E-04
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,2.00E-06,4.00E-06,7.00E-06,1.30E-05,2.20E-05,3.80E-05,6.30E-05,1.01E-04,1.53E-04,2.22E-04,3.05E-04,3.91E-04,4.73E-04,5.50E-04,6.37E-04,6.99E-04,7.11E-04,7.00E-04,6.44E-04,6.27E-04,5.80E-04,5.57E-04,5.45E-04,5.15E-04,4.78E-04,4.49E-04,3.91E-04,3.69E-04,3.00E-04,2.89E-04,2.71E-04,2.29E-04,1.95E-04,1.85E-04,1.66E-04,1.54E-04,1.35E-04,1.22E-04,1.29E-04,1.18E-04
15,0,0,0,0,0,0,0,0,0,0,0,1.00E-06,1.00E-06,1.00E-06,2.00E-06,3.00E-06,4.00E-06,5.00E-06,5.00E-06,6.00E-06,7.00E-06,1.00E-05,1.00E-05,1.30E-05,1.90E-05,2.90E-05,4.60E-05,7.50E-05,1.21E-04,1.90E-04,2.86E-04,4.13E-04,5.66E-04,6.68E-04,8.09E-04,9.09E-04,8.75E-04,6.66E-04,5.88E-04,5.19E-04,5.05E-04,4.68E-04,4.65E-04,4.50E-04,4.43E-04,3.82E-04,3.59E-04,3.31E-04,3.13E-04,2.96E-04,2.86E-04,2.52E-04,2.61E-04,2.17E-04,1.95E-04,1.93E-04,1.76E-04,1.64E-04,1.45E-04,1.35E-04,1.46E-04
16,0,0,0,0,0,0,0,0,0,1.00E-06,1.00E-06,2.00E-06,3.00E-06,5.00E-06,7.00E-06,1.10E-05,1.50E-05,1.90E-05,2.40E-05,2.80E-05,3.00E-05,3.20E-05,3.40E-05,3.30E-05,3.40E-05,3.60E-05,4.20E-05,5.30E-05,7.30E-05,1.05E-04,1.54E-04,2.22E-04,3.13E-04,3.93E-04,4.51E-04,5.26E-04,5.70E-04,5.05E-04,4.10E-04,4.06E-04,3.85E-04,3.85E-04,3.60E-04,3.53E-04,3.39E-04,3.76E-04,3.27E-04,2.92E-04,3.16E-04,2.96E-04,2.80E-04,2.25E-04,2.39E-04,2.04E-04,1.81E-04,1.71E-04,1.68E-04,1.53E-04,1.48E-04,1.34E-04,1.26E-04
17,0,0,0,0,0,0,0,1.00E-06,1.00E-06,2.00E-06,3.00E-06,4.00E-06,7.00E-06,1.00E-05,1.60E-05,2.30E-05,3.30E-05,4.40E-05,5.60E-05,6.70E-05,7.50E-05,8.00E-05,8.20E-05,8.30E-05,8.00E-05,7.70E-05,7.60E-05,7.70E-05,8.40E-05,9.80E-05,1.22E-04,1.60E-04,2.14E-04,2.68E-04,3.23E-04,3.71E-04,4.15E-04,4.08E-04,3.66E-04,3.55E-04,3.58E-04,3.57E-04,3.51E-04,3.35E-04,3.14E-04,3.53E-04,3.47E-04,2.98E-04,3.19E-04,3.23E-04,3.12E-04,2.54E-04,2.41E-04,2.10E-04,1.91E-04,1.78E-04,1.69E-04,1.65E-04,1.50E-04,1.48E-04,1.35E-04
18,0,0,0,0,0,0,0,1.00E-06,2.00E-06,3.00E-06,5.00E-06,7.00E-06,1.20E-05,1.80E-05,2.80E-05,4.10E-05,5.90E-05,8.10E-05,1.05E-04,1.29E-04,1.49E-04,1.63E-04,1.70E-04,1.71E-04,1.68E-04,1.60E-04,1.52E-04,1.46E-04,1.43E-04,1.45E-04,1.53E-04,1.71E-04,2.02E-04,2.35E-04,2.74E-04,3.17E-04,3.56E-04,3.59E-04,3.41E-04,3.46E-04,3.51E-04,3.63E-04,3.59E-04,3.54E-04,3.23E-04,3.57E-04,3.70E-04,3.29E-04,3.43E-04,3.55E-04,3.50E-04,2.95E-04,2.81E-04,2.31E-04,2.05E-04,1.99E-04,1.85E-04,1.76E-04,1.71E-04,1.56E-04,1.54E-04
19,0,0,0,0,0,0,1.00E-06,2.00E-06,3.00E-06,5.00E-06,8.00E-06,1.20E-05,1.90E-05,2.90E-05,4.50E-05,6.70E-05,9.60E-05,1.33E-04,1.75E-04,2.18E-04,2.57E-04,2.89E-04,3.08E-04,3.15E-04,3.12E-04,3.02E-04,2.86E-04,2.70E-04,2.57E-04,2.47E-04,2.42E-04,2.44E-04,2.57E-04,2.69E-04,2.89E-04,3.17E-04,3.49E-04,3.52E-04,3.37E-04,3.50E-04,3.63E-04,3.79E-04,3.83E-04,3.80E-04,3.54E-04,3.83E-04,4.00E-04,3.67E-04,3.89E-04,3.97E-04,3.98E-04,3.34E-04,3.32E-04,2.74E-04,2.32E-04,2.16E-04,2.11E-04,1.97E-04,1.87E-04,1.82E-04,1.67E-04
