age,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,2e-07,4e-07,8e-07,1.4000000000000001e-06,2.4000000000000003e-06,4.1000000000000006e-06,6.8e-06,1.09e-05,1.65e-05,2.39e-05,3.2800000000000004e-05,4.2000000000000004e-05,5.08e-05,5.9000000000000004e-05,6.52e-05,6.95e-05,7.27e-05,7.420000000000001e-05,7.72e-05,7.910000000000001e-05,7.670000000000001e-05,7.27e-05,6.54e-05,6.28e-05,5.6200000000000004e-05,5.17e-05,4.77e-05,4.1400000000000003e-05,3.44e-05,3.16e-05,2.7700000000000002e-05,2.4800000000000003e-05,1.8900000000000002e-05,1.9200000000000003e-05,1.78e-05,1.55e-05,1.3100000000000002e-05,1.1400000000000001e-05,1.2e-05,1.11e-05,1.0100000000000002e-05,1.0100000000000002e-05,7.600000000000001e-06,6.300000000000001e-06
11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,2e-07,4e-07,7.000000000000001e-07,1.4000000000000001e-06,2.4000000000000003e-06,4.000000000000001e-06,6.7e-06,1.0700000000000001e-05,1.63e-05,2.36e-05,3.24e-05,4.1500000000000006e-05,5.02e-05,5.83e-05,6.440000000000001e-05,6.87e-05,7.18e-05,7.690000000000001e-05,7.850000000000001e-05,7.680000000000001e-05,7.37e-05,6.65e-05,6.38e-05,5.7799999999999995e-05,5.410000000000001e-05,5.060000000000001e-05,4.6700000000000003e-05,3.96e-05,3.41e-05,2.9999999999999997e-05,2.8899999999999998e-05,2.2800000000000002e-05,1.95e-05,1.95e-05,1.7500000000000002e-05,1.55e-05,1.3100000000000002e-05,1.1500000000000002e-05,1.22e-05,1.13e-05,1.0100000000000002e-05,1e-05,7.499999999999999e-06
12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,2e-07,4e-07,7.000000000000001e-07,1.3e-06,2.3e-06,4.000000000000001e-06,6.600000000000001e-06,1.06e-05,1.6000000000000003e-05,2.32e-05,3.19e-05,4.08e-05,4.94e-05,5.74e-05,6.340000000000001e-05,6.77e-05,7.470000000000001e-05,7.74e-05,7.58e-05,7.32e-05,6.67e-05,6.45e-05,5.87e-05,5.5400000000000005e-05,5.2600000000000005e-05,4.94e-05,4.4800000000000005e-05,3.88e-05,3.2200000000000003e-05,3.1100000000000004e-05,2.65e-05,2.36e-05,1.9900000000000003e-05,1.93e-05,1.74e-05,1.54e-05,1.3200000000000002e-05,1.18e-05,1.25e-05,1.1500000000000002e-05,1.0100000000000002e-05,1.0100000000000002e-05
13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,2e-07,4e-07,7.000000000000001e-07,1.3e-06,2.3e-06,3.9e-06,6.5e-06,1.04e-05,1.57e-05,2.2800000000000002e-05,3.13e-05,4e-05,4.8500000000000007e-05,5.6300000000000006e-05,6.220000000000001e-05,6.99e-05,7.52e-05,7.460000000000001e-05,7.240000000000001e-05,6.570000000000001e-05,6.45e-05,5.87e-05,5.5900000000000004e-05,5.3700000000000004e-05,5.1099999999999995e-05,4.6700000000000003e-05,4.3100000000000004e-05,3.6200000000000006e-05,3.33e-05,2.83e-05,2.7300000000000003e-05,2.37e-05,1.97e-05,1.9200000000000003e-05,1.7000000000000003e-05,1.54e-05,1.34e-05,1.2100000000000001e-05,1.28e-05,1.17e-05,1e-05
14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,2e-07,4e-07,7.000000000000001e-07,1.3e-06,2.2e-06,3.8000000000000005e-06,6.300000000000001e-06,1.0100000000000002e-05,1.5300000000000003e-05,2.22e-05,3.05e-05,3.91e-05,4.7300000000000005e-05,5.500000000000001e-05,6.37e-05,6.99e-05,7.110000000000001e-05,7.000000000000001e-05,6.440000000000001e-05,6.269999999999999e-05,5.8e-05,5.57e-05,5.45e-05,5.1500000000000005e-05,4.78e-05,4.490000000000001e-05,3.91e-05,3.69e-05,2.9999999999999997e-05,2.8899999999999998e-05,2.7099999999999998e-05,2.29e-05,1.95e-05,1.8500000000000002e-05,1.66e-05,1.54e-05,1.3500000000000001e-05,1.22e-05,1.29e-05,1.18e-05
15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1e-07,1e-07,1e-07,2e-07,3.0000000000000004e-07,4e-07,5.000000000000001e-07,5.000000000000001e-07,6.000000000000001e-07,7.000000000000001e-07,1.0000000000000002e-06,1.0000000000000002e-06,1.3e-06,1.9000000000000002e-06,2.9e-06,4.6e-06,7.499999999999999e-06,1.2100000000000001e-05,1.9e-05,2.8600000000000004e-05,4.13e-05,5.66e-05,6.68e-05,8.090000000000001e-05,9.09e-05,8.750000000000001e-05,6.66e-05,5.88e-05,5.190000000000001e-05,5.050000000000001e-05,4.68e-05,4.6500000000000005e-05,4.5e-05,4.43e-05,3.820000000000001e-05,3.59e-05,3.3100000000000005e-05,3.13e-05,2.96e-05,2.8600000000000004e-05,2.5200000000000003e-05,2.61e-05,2.17e-05,1.95e-05,1.93e-05,1.76e-05,1.6400000000000002e-05,1.45e-05,1.3500000000000001e-05,1.46e-05
16,0,0,0,0,0,0,0.0,0.0,0.0,1e-07,1e-07,2e-07,3.0000000000000004e-07,5.000000000000001e-07,7.000000000000001e-07,1.1e-06,1.5e-06,1.9000000000000002e-06,2.4000000000000003e-06,2.8000000000000003e-06,3e-06,3.2e-06,3.4e-06,3.3000000000000006e-06,3.4e-06,3.6000000000000003e-06,4.2e-06,5.3e-06,7.3e-06,1.0500000000000001e-05,1.54e-05,2.22e-05,3.13e-05,3.9300000000000007e-05,4.5100000000000005e-05,5.2600000000000005e-05,5.7e-05,5.050000000000001e-05,4.1e-05,4.0600000000000004e-05,3.85e-05,3.85e-05,3.6e-05,3.5300000000000004e-05,3.3900000000000004e-05,3.76e-05,3.27e-05,2.92e-05,3.16e-05,2.96e-05,2.8e-05,2.25e-05,2.39e-05,2.04e-05,1.8100000000000003e-05,1.7100000000000002e-05,1.68e-05,1.5300000000000003e-05,1.48e-05,1.34e-05,1.2600000000000001e-05
17,0,0,0,0,0,0,0.0,1e-07,1e-07,2e-07,3.0000000000000004e-07,4e-07,7.000000000000001e-07,1.0000000000000002e-06,1.6e-06,2.3e-06,3.3000000000000006e-06,4.4e-06,5.600000000000001e-06,6.7e-06,7.499999999999999e-06,8.000000000000001e-06,8.200000000000001e-06,8.3e-06,8.000000000000001e-06,7.7e-06,7.600000000000001e-06,7.7e-06,8.4e-06,9.800000000000001e-06,1.22e-05,1.6000000000000003e-05,2.1400000000000002e-05,2.68e-05,3.23e-05,3.710000000000001e-05,4.1500000000000006e-05,4.08e-05,3.66e-05,3.55e-05,3.5799999999999996e-05,3.57e-05,3.5100000000000006e-05,3.35e-05,3.14e-05,3.5300000000000004e-05,3.4699999999999996e-05,2.98e-05,3.19e-05,3.23e-05,3.12e-05,2.54e-05,2.4100000000000003e-05,2.1000000000000002e-05,1.9100000000000003e-05,1.78e-05,1.69e-05,1.65e-05,1.4999999999999999e-05,1.48e-05,1.3500000000000001e-05
18,0,0,0,0,0,0,0.0,1e-07,2e-07,3.0000000000000004e-07,5.000000000000001e-07,7.000000000000001e-07,1.2000000000000002e-06,1.8000000000000001e-06,2.8000000000000003e-06,4.1000000000000006e-06,5.9e-06,8.1e-06,1.0500000000000001e-05,1.29e-05,1.49e-05,1.63e-05,1.7000000000000003e-05,1.7100000000000002e-05,1.68e-05,1.6000000000000003e-05,1.5200000000000002e-05,1.46e-05,1.4300000000000002e-05,1.45e-05,1.5300000000000003e-05,1.7100000000000002e-05,2.0200000000000003e-05,2.3500000000000002e-05,2.7400000000000002e-05,3.1700000000000005e-05,3.56e-05,3.59e-05,3.41e-05,3.46e-05,3.5100000000000006e-05,3.63e-05,3.59e-05,3.54e-05,3.23e-05,3.57e-05,3.7000000000000005e-05,3.29e-05,3.43e-05,3.55e-05,3.5000000000000004e-05,2.9500000000000002e-05,2.8100000000000002e-05,2.3100000000000002e-05,2.05e-05,1.9900000000000003e-05,1.8500000000000002e-05,1.76e-05,1.7100000000000002e-05,1.56e-05,1.54e-05
19,0,0,0,0,0,0,1e-07,2e-07,3.0000000000000004e-07,5.000000000000001e-07,8e-07,1.2000000000000002e-06,1.9000000000000002e-06,2.9e-06,4.5e-06,6.7e-06,9.600000000000001e-06,1.3300000000000001e-05,1.7500000000000002e-05,2.18e-05,2.57e-05,2.8899999999999998e-05,3.08e-05,3.15e-05,3.12e-05,3.0200000000000002e-05,2.8600000000000004e-05,2.7000000000000002e-05,2.57e-05,2.47e-05,2.4200000000000002e-05,2.44e-05,2.57e-05,2.69e-05,2.8899999999999998e-05,3.1700000000000005e-05,3.49e-05,3.52e-05,3.37e-05,3.5000000000000004e-05,3.63e-05,3.79e-05,3.83e-05,3.8e-05,3.54e-05,3.83e-05,4e-05,3.67e-05,3.8900000000000004e-05,3.97e-05,3.9800000000000005e-05,3.34e-05,3.32e-05,2.7400000000000002e-05,2.32e-05,2.16e-05,2.11e-05,1.97e-05,1.87e-05,1.8200000000000002e-05,1.67e-05
