age,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
20,0,0,0,0,0,0,0,2.00E-06,3.00E-06,7.00E-06,1.20E-05,2.20E-05,3.70E-05,6.30E-05,1.05E-04,1.69E-04,2.61E-04,3.85E-04,5.39E-04,7.12E-04,8.91E-04,0.001056,0.001188,0.001274,0.001313,0.001308,0.00127,0.001211,0.001148,0.001083,0.001025,9.78E-04,9.42E-04,8.73E-04,8.20E-04,7.81E-04,7.51E-04,6.64E-04,5.76E-04,5.55E-04,5.67E-04,5.62E-04,5.39E-04,5.88E-04,6.00E-04,6.09E-04,6.03E-04,5.77E-04,6.16E-04,6.07E-04,5.94E-04,4.87E-04,4.86E-04,3.92E-04,3.24E-04,2.89E-04,2.73E-04,2.68E-04,2.57E-04,2.51E-04,2.47E-04
21,0,0,0,0,0,0,0,2.00E-06,4.00E-06,8.00E-06,1.50E-05,2.70E-05,4.70E-05,8.00E-05,1.34E-04,2.16E-04,3.35E-04,4.98E-04,7.03E-04,9.42E-04,0.001196,0.001444,0.001659,0.00182,0.001915,0.001946,0.00192,0.001853,0.001766,0.001671,0.001577,0.00149,0.001422,0.001294,0.001185,0.001095,0.001018,8.71E-04,7.38E-04,7.02E-04,7.08E-04,6.97E-04,6.69E-04,7.24E-04,7.41E-04,7.50E-04,7.51E-04,7.17E-04,7.71E-04,7.62E-04,7.44E-04,6.11E-04,6.11E-04,4.96E-04,4.20E-04,3.73E-04,3.40E-04,3.26E-04,3.20E-04,3.10E-04,3.04E-04
22,0,0,0,0,0,0,1.00E-06,2.00E-06,5.00E-06,9.00E-06,1.80E-05,3.20E-05,5.60E-05,9.70E-05,1.62E-04,2.63E-04,4.10E-04,6.13E-04,8.73E-04,0.001182,0.001521,0.001864,0.002178,0.002437,0.002618,0.002712,0.002723,0.002667,0.002568,0.002442,0.002311,0.002179,0.002066,0.001865,0.001685,0.001528,0.001391,0.00116,9.58E-04,8.97E-04,8.95E-04,8.71E-04,8.34E-04,8.96E-04,9.12E-04,9.22E-04,9.21E-04,8.86E-04,9.50E-04,9.41E-04,9.21E-04,7.59E-04,7.57E-04,6.19E-04,5.27E-04,4.77E-04,4.33E-04,4.02E-04,3.87E-04,3.82E-04,3.71E-04
23,0,0,0,0,0,0,1.00E-06,2.00E-06,5.00E-06,1.10E-05,2.00E-05,3.70E-05,6.50E-05,1.12E-04,1.89E-04,3.06E-04,4.80E-04,7.23E-04,0.001038,0.001418,0.001846,0.002291,0.002719,0.003094,0.003386,0.003576,0.003654,0.003636,0.003548,0.003403,0.003233,0.003056,0.002894,0.002595,0.002326,0.002087,0.001874,0.001536,0.001244,0.001143,0.001127,0.001086,0.001032,0.001099,0.001113,0.001122,0.001119,0.001075,0.001153,0.001144,0.00112,9.31E-04,9.26E-04,7.62E-04,6.50E-04,5.90E-04,5.44E-04,5.01E-04,4.70E-04,4.55E-04,4.50E-04
24,0,0,0,0,0,0,1.00E-06,2.00E-06,6.00E-06,1.20E-05,2.20E-05,4.00E-05,7.10E-05,1.24E-04,2.09E-04,3.43E-04,5.39E-04,8.17E-04,0.001183,0.001632,0.002148,0.0027,0.003249,0.003754,0.004176,0.00449,0.004672,0.004725,0.004677,0.004538,0.004345,0.004121,0.003911,0.003496,0.003114,0.002776,0.002469,0.001999,0.001596,0.001442,0.001404,0.00134,0.001265,0.001332,0.00134,0.001343,0.001336,0.001285,0.00137,0.00136,0.001336,0.001119,0.001113,9.23E-04,7.90E-04,7.16E-04,6.61E-04,6.16E-04,5.74E-04,5.43E-04,5.28E-04
25,0,0,0,0,0,0,1.00E-06,3.00E-06,8.00E-06,1.60E-05,3.10E-05,5.80E-05,1.03E-04,1.79E-04,3.03E-04,4.98E-04,7.87E-04,0.001196,0.00174,0.002417,0.003206,0.004069,0.004951,0.005791,0.006532,0.007127,0.007535,0.007743,0.007774,0.007638,0.007386,0.007052,0.00671,0.00596,0.005245,0.004603,0.004024,0.003089,0.002328,0.002036,0.001931,0.001776,0.001682,0.001709,0.001646,0.00156,0.001462,0.001368,0.001386,0.001286,0.001197,9.49E-04,9.40E-04,7.49E-04,6.35E-04,5.84E-04,5.48E-04,5.19E-04,4.94E-04,4.70E-04,4.52E-04
26,0,0,0,0,0,0,1.00E-06,4.00E-06,8.00E-06,1.70E-05,3.30E-05,6.20E-05,1.10E-04,1.92E-04,3.25E-04,5.35E-04,8.47E-04,0.001293,0.001886,0.00263,0.003507,0.004481,0.005496,0.00649,0.007399,0.008169,0.008747,0.009112,0.009275,0.009226,0.009016,0.008681,0.008307,0.007394,0.006536,0.005736,0.005009,0.003841,0.002908,0.002538,0.00239,0.002182,0.002057,0.002063,0.001974,0.001859,0.001729,0.001615,0.00162,0.001497,0.001388,0.001108,0.001097,8.82E-04,7.54E-04,6.92E-04,6.48E-04,6.11E-04,5.81E-04,5.55E-04,5.31E-04
27,0,0,0,0,0,0,1.00E-06,4.00E-06,9.00E-06,1.80E-05,3.40E-05,6.40E-05,1.15E-04,2.01E-04,3.42E-04,5.63E-04,8.95E-04,0.001371,0.002012,0.002821,0.003785,0.004871,0.006025,0.00718,0.00827,0.009234,0.010007,0.010554,0.010883,0.010963,0.010834,0.010531,0.01015,0.009072,0.008026,0.007054,0.006149,0.004696,0.003538,0.003076,0.002891,0.002625,0.002458,0.002446,0.002319,0.00217,0.002,0.001861,0.001853,0.001705,0.001578,0.001268,0.001254,0.001021,8.77E-04,8.08E-04,7.53E-04,7.07E-04,6.69E-04,6.38E-04,6.12E-04
28,0,0,0,0,0,0,1.00E-06,4.00E-06,9.00E-06,1.80E-05,3.50E-05,6.50E-05,1.17E-04,2.05E-04,3.50E-04,5.79E-04,9.24E-04,0.001422,0.002096,0.002959,0.003998,0.005185,0.006467,0.007781,0.009052,0.010216,0.0112,0.011952,0.012473,0.012719,0.012717,0.012486,0.012136,0.010907,0.009673,0.008499,0.007405,0.005634,0.004218,0.003639,0.003409,0.003093,0.00288,0.002844,0.002679,0.002491,0.002276,0.002106,0.002085,0.001909,0.001766,0.001429,0.001408,0.001162,0.001006,9.27E-04,8.64E-04,8.08E-04,7.61E-04,7.22E-04,6.90E-04
29,0,0,0,0,0,0,1.00E-06,3.00E-06,8.00E-06,1.80E-05,3.50E-05,6.40E-05,1.17E-04,2.06E-04,3.52E-04,5.84E-04,9.34E-04,0.001444,0.00214,0.003037,0.004132,0.005399,0.00679,0.008244,0.009685,0.011045,0.012241,0.013214,0.01395,0.014388,0.014551,0.014441,0.014164,0.012815,0.011409,0.010039,0.008735,0.006628,0.004933,0.004223,0.003934,0.003564,0.00331,0.00325,0.003042,0.002817,0.002556,0.002353,0.002315,0.002112,0.001949,0.001591,0.001564,0.001303,0.001137,0.001052,9.80E-04,9.16E-04,8.59E-04,8.11E-04,7.71E-04
